Product,Purchases,"Average Delivery Time (Days)","Product Name Length","Product Description Length","Product Photo Quantity"
00baba5b58e274d0332a0c8a0a66f877,11,14,27,406,4
00bb62ea3729537a687c3fddcd123662,2,8,36,1241,3
00bc6e6d4ceb98ec7ed058b0a243a8b9,1,14,34,249,1
00be617b58175bf207fd35910d5097a4,5,15,52,396,1
00c3e35b00dd00ab864d4a94c1b97e66,2,6,58,596,4
00c407e056c74eb8040a1233ca6da16f,1,15,56,183,2
00c744ca2f3b0e76ce227b146095d3f9,1,6,41,569,1
00d2add85b1f5aba6bb3d5d977314e25,2,23,60,935,1
00d2fa6f2a87633084c8e0400d41a65a,1,5,41,312,1
00d363b8c14bb9a6c73febc4c42acf47,1,9,49,998,2
00d51a45854ebce28acda79f414388ee,1,1,52,857,1
00d62d0388b0786d730a1aaed91c0ae0,1,14,53,646,1
00d93a09990b319a7c946ed7a8c67656,1,19,54,197,8
00dc8a1b2de45a7fca5921544e5f351d,1,9,42,1202,6
00de606a5dda99c2499f94ef18282977,1,9,59,642,5
00e2784f846618842151d40ec730ece0,1,7,42,914,1
00e32638060f6356e6f00749dc466b5c,7,16,45,561,2
00e41fb1706dc56cc3bbdd2c1d6df362,1,10,55,314,1
00e437f5e55fc5a62e4ef2f84f41b5fb,1,14,52,139,1
00e62bcf9337ca4c5d5b4c5c8188f8d2,1,7,50,827,3
00e928700d549c4173b1bf631ca30abf,1,35,51,294,2
00efb9a8ce0cf3b2f37892ab003edc10,1,32,49,753,4
00f179926ae5965cd6ff548d765d8a61,3,17,57,674,3
00f42e56821b1779fbf397fe72639054,2,7,34,655,1
00f8c37377b038c9c791128d2f928111,1,39,32,302,1
00faa46f36261af8bbf3a4d37fa4841b,10,14,49,293,1
00fefaf41156bb4b0d850fb27da97897,5,5,12,3231,3
00ffe57f0110d73fd84d162252b2c784,1,9,56,1877,1
0103208eb1ea5a1a7359c0251a65e37a,1,7,53,2209,7
010951987d78f9d52fbf50a43b690ba1,3,17,55,441,1
010c38887e6a41a5acfea2687515b254,3,19,59,438,1
010c79af51e82f60de174b6da6060c0a,2,7,60,678,1
0110573bc9195aa810a4384f189f48f5,4,11,63,213,1
0110986ff84d644fee920efb18577292,1,8,56,660,5
0112c32bab2fb9a2147b92cdd5f1d3e7,1,20,53,442,4
0116f3b947377cccf0135f8071b54d74,1,3,55,1381,4
01175f0c6182b4410c669417d7e8268f,1,8,39,326,4
011967a30ceeaa86acb72e79664544ad,2,16,55,468,1
011ae9863bd5b15e528a16dd8ceb4772,7,13,56,1784,6
011bb8a6af5178b33871a83c4f297d32,1,15,42,710,1
011be89e68e286ac07f51c22ecbb04aa,2,15,59,1301,6
011c2759ca1a29c74ecd8bfa48d0ac14,1,10,58,897,2
01217a683550744160a91eaa46a92305,5,15,58,468,4
0127db1f4effcf8f5b88d80588bc5624,2,12,53,555,1
0129d1e9b29d3fe6833cc922374cd252,7,8,55,134,1
0130c4375ccbe30dbfa676abd076a056,2,11,59,1687,3
013298e0648d412de0d65690045493bc,1,5,52,733,1
0134eb6b933b7ebc0f9e24ae5abefaa0,1,5,58,290,1
0138b665025e0b24bfa6206d97b0f117,1,6,49,930,2
013c4b7963865454407e0c79047636c3,1,10,37,220,2
013cc658e88b36989b48b2bd5f7add59,1,14,55,2871,1
013e6676e0e3529e5909ff54370daddf,8,14,47,619,1
013ee64977aaa6b2b25475095162e0e9,14,10,40,519,2
0141015d2469c1c5f9d7d377d1cdb44a,1,12,54,529,2
0141f5b2fc5389a8b247ae23b58482ef,1,10,57,486,6
01422266d7a3131403364787ef9dab11,2,15,34,177,1
0142fd5bd2e0923cf2dbc73d471dda34,1,18,57,404,4
014d94f219fbff1166b9cf700eee36b2,1,2,50,556,1
0152f69b6cf919bcdaf117aa8c43e5a2,61,14,40,116,1
01545847403c0f1e69d76654d66be35c,3,6,60,661,4
015dfd6612249811b2e147c1f3be048f,1,9,33,912,4
015e04445dedbd5da301ef29cbb03f83,5,10,52,183,2
015e652da4f31f2f7a051a6de66094c0,2,12,53,124,3
015ec57b45a4c3efc70288eb133d623a,1,12,52,2668,1
0160785b697a5ea87d52949bd097ce05,3,7,48,389,3
0164201c7c8b81dc5779e015e2d7be59,2,18,52,662,1
016711f78a6a87696645db0a6a834826,19,11,14,1366,2
016809bbae76f284266dcffcbb12480b,1,16,38,789,3
0168e1b28d8e55a515928cf656eff0a4,1,18,50,340,1
016cae136d358dcdacbd7ac9f1864c09,5,18,53,236,2
016f3b29107ed03252e477b08445cec4,1,9,56,871,2
0174eb125f49a617bd9c6277e5aa76a9,1,6,52,394,1
0176300ac9900e260f35fbddd71c6d92,1,24,59,161,1
0176bf7839ab4e611dc01cdc3ef6f4e4,8,12,49,330,1
017e8dcb2e1a468d46e6e80fd694c5ec,1,8,59,570,5
0182796b487918d688ba48cf3a0d1bf4,1,11,55,330,1
0182db9fc95fd36e324e8a4c40c0819a,1,13,54,975,2
01849445c151d94a1f0cfff03c9ed154,1,7,60,146,2
0185e6719ca5c224fc53853997fa3f68,1,13,64,319,1
0185f302dc17abf603edfe7929a0120a,1,10,59,651,5
018ca97302e4293050cc41413194bb19,1,3,45,266,1
0192191cc1bc83262d6667c54c2e048f,2,19,54,404,4
0193fc18d9a6e9b9b0b3a41768fefa12,2,9,59,381,6
01948c8dbac93beb665f136bccd530d8,1,25,25,1564,1
0198a991deae439205851e71a7b0bdf7,1,13,63,157,3
019d8b8866a5555ac955b45ffd35e039,1,4,51,425,1
01a0f7d0d081d619be810e512be45f97,1,26,50,138,1
01a2ad2b54cd734f78cb817da7752d8b,1,7,44,280,1
01a5038835acf17f141c7247956b72d6,4,6,54,235,1
01a52711e989a817ab8100ddcf8d2940,1,4,46,2771,5
01a630ec9b9f9387e5a91c1f83bd209b,1,20,46,381,2
01a88bd2633c52bcc66348307cb3ae15,2,8,44,907,1
01a900ffd5609ad754c38f9dcbce8c6d,1,10,43,742,3
01a9707790aab6855a6438b92c4c396b,1,6,55,244,1
01af6a4592d74b6d41ceeede0bd8b417,1,16,51,1132,8
01b0238705b6ae8e35c6fea837e6ae4a,1,11,57,460,1
01b660ebc1a0c293ccf9b117fa6dd8bb,1,6,26,1175,3
01b864cf36d60d972e2e29d8c5084d64,1,8,60,665,1
01bc2a3c12d6e588aecb54ffad194c13,2,17,58,1236,1
01c2e91674406ebaca6a1bbf7f61c3f0,1,6,55,260,1
01c9a70868bec5b748c67fcc26ce5895,16,12,39,601,2
01caf54032309b518a584331b8a673f6,1,4,45,223,1
01cb96c64e8e35f29826a58963f6ecc5,1,10,39,990,2
01cdc6fbdb39fc792bb4c40164ce2331,1,46,44,1085,1
01cf56cd6138b926a4802d16fc304149,6,12,43,3023,6
01cf7c4cffff8db0a1cbe612bd2d50a4,10,7,53,371,1
01cfc3d9c29504c2d370933e53f002b4,2,8,60,1078,1
01d4157fd9738ea81038316ae4cfc192,6,7,52,228,1
01da7f08d8327e0b4fab7edaa0c417a4,8,21,49,1019,3
01e20e6604216c8adb31d463214ba00c,1,19,48,627,1
01e25be2c25019945382e057a8292e72,1,41,59,330,1
01e66dc5bf4d5a186d856506a4f0fea2,1,5,60,328,1
01ea47d0dff23faa8d07ba3f353d2af0,1,9,39,179,1
01ebdb7ca76a3c581c0d5229ed80be7c,1,2,34,288,1
01ece5f98b5fe510881404f92229a49f,1,8,55,638,1
01ecf875ab885ebcae3dd2b1ccc4715f,1,5,46,730,1
01ef0716b68c8493434ad32430c24e18,5,13,59,641,2
01f2d77d8a63937c77c7128ce4bd2ada,4,13,60,753,2
01f76c07f91a533acd46cc6ab989be23,1,16,57,404,4
01fc56750f0d3444c4a1746ecf19dee0,3,14,49,1818,1
01ff1ff8aa5dec93e9938b989393a4ca,7,6,51,315,1
02044dc95cf33aaf55e03bde1b042539,2,15,52,123,2
02064a5bc5d3656476e9dab151c69989,2,8,38,1113,3
02090f97a28b3d10d19a09f045f6df34,1,21,60,738,1
020a80cb704bf65f38761fcedf2af192,13,6,35,1512,3
0210b75f6f4de09dfc17a66803290f8a,1,7,33,2245,1
021426c19c264227de3c34e3f5e2f4ee,1,6,29,2918,1
0214e4741dab5812bb31a61af1dc3de5,1,12,53,284,1
021c41b063949bf529b79289c58e0a8b,1,11,59,803,1
021d39ee869e87d5288f4e731df4a90e,1,23,44,663,4
021f04378f9692f8747f926f38bb8281,1,3,58,220,1
022649cdc8ef07dddfa3de3409647e00,1,4,56,286,1
0226c9207aea0b16076a27ca65cb4929,2,38,47,1220,1
022b0ef3922883f810bdff4d58e93115,1,6,58,641,5
022ff42cced44a2b2cca57061cabb526,1,5,57,1705,1
0233382eae30811d6dfffbbfb5de36d8,1,5,59,520,8
02335f37af17baf50a91273e4bdc8ef4,1,7,27,791,1
0233dd6f06e23c705ab76dc3ab165837,4,12,45,1057,3
023473d9db1c319f2bcd010e043b2ba2,1,21,41,411,2
02357c69f595e004b50ba115b3f88d63,1,14,43,775,6
023a60ac6b3484afe23d788ce2444df0,1,4,66,503,1
0241aa4ed831b73fd4940ffd9cec20dc,1,17,31,107,1
025249b91a565601dc1b8f47ee7a230e,3,8,49,589,2
0254a096e569c4a89b6870e9d4a65c3c,3,12,55,971,4
025dd9fac2544d8e7e3451ec87bc6511,1,10,56,124,2
02623b0e4e6b951aefb23575de1f3886,1,9,27,828,1
0268130c8c3e3cac87b5ec4931348c73,1,3,60,543,1
0269bdfd3a4f3d384753cbadc1d742be,1,15,20,630,1
026b77b15418f2a8114dfb0026739be4,6,11,56,3161,1
026d610705e01d905582241e68aefefe,1,2,52,96,2
026ddfe4a1a29002815e6da024d6128e,1,7,48,219,3
026f43af35e7951067097527d5c31bcc,2,7,58,1075,1
027293c3b6d9e221268d9d6a5ffe5d0b,1,17,57,148,1
027325f946f1b3d8f94c3496e9a59a10,2,9,54,335,3
027bb42a4ef22da4c7a80ecf9c60ba0c,5,10,60,357,4
027cdd14a677a5834bc67a9789db5021,40,10,42,544,1
027e1564c58eb02f39089b2b1f28d5e0,1,14,57,404,4
02834e5af210b8a2593eb81eecf40707,1,6,43,374,1
02851253400fd18410f8eb4369cff9e1,3,8,52,289,1
0285a1295a18a4d37c11fa446d4c1345,1,15,56,1139,1
0288532d075e4bf58e044c92e68c94cd,1,11,44,540,1
028da1c319c010397ad1ea42db816d23,1,14,21,316,1
0290cc426311fb177fe19e513a7dc349,1,14,51,244,1
0294e314a033317e28ecc40aee9025e8,3,3,58,922,2
02a0c276d5a252215b48269dea73a6e7,8,6,32,963,1
02a56644dd5dbe6884a047f4d9ea52ea,1,5,56,651,5
02a60f0074f36110106a16d15267aad5,1,15,50,401,1
02a93c4e95263ca545e9f46ca2b59833,1,9,52,134,6
02a97df83a8a100c7d2b14a02aea6a3d,5,14,46,378,1
02a99f266fc960423c1186ecbd627804,1,10,39,720,4
02ad328219e45e7d138101bc3c8aa6c6,1,15,52,928,7
02b7929be620a2f05bb13d0c0e2cbd48,2,4,39,201,3
02b824e9f1158bc1005e058c4ea78e8d,1,8,56,1672,2
02c575cb5b29a173624c93f01786440b,1,9,46,279,5
02c9b70f3d2ddf38f1120e09d4f9cd45,1,6,49,395,1
02ca56d6ca8d517a067869b6b6543ded,1,11,59,265,1
02ce0c74e59d6cf6bc9026601414a9c4,3,2,56,300,1
02d48451331287e2bf12560d032d57a6,3,13,55,981,1
02d53241d2a3c4b1d65f21028e15fde8,2,22,46,862,1
02d5d374678728b3af7bd59ee012abb4,1,30,54,174,1
02d7f60ee640c8218aab6a668bbd2c56,1,17,56,1857,3
02db1469fdcd31a4fb670da6caec8bf6,1,3,52,373,2
02dc711c164ca9c218d316491801ced9,1,18,54,1959,2
02ed3b595447e948efc3eac897e4df0e,10,8,30,413,2
02ee0862685e90b57cc241b7c9885f95,14,9,55,784,1
02f331648b37d96cbaf60e96f9c0cd92,1,6,60,1500,1
02f381f455650d4c7b90c96dc50a6206,1,9,31,225,2
02f3b0fb0ec2472bd4b9058a860ce6e3,1,20,36,474,1
02f8dd9b448d3ec2c73e65a22da1121c,5,9,43,597,1
02fb2d61da1247bf732360ea76b16240,7,10,49,824,1
02fbee632a2044d48ab16d57eec4db58,7,17,53,230,1
02fcaaaba3a4b4882987a3639d968572,1,9,55,139,3
0302c3fcf5e2d9526e243db50d30d5e3,5,5,26,190,2
030729544fc3eb6a40981f877e836450,1,13,32,272,4
03078714f1e3f3758555f67ff35b4b01,4,6,54,153,1
030f129f7f4681d3996e2531840057af,2,22,55,844,1
0312536dd9e1c1b732d2b8ff5c3181d6,1,34,56,838,2
03137dc3af3dc8138e070c4536407618,2,17,60,1172,5
0320a1be5c5224f64bfbffa583cf03d6,7,19,48,1337,2
032c32a02f67b0fad495803ca810689e,1,10,54,923,2
032e8352e7d34cc2558d4ae22132866c,1,6,55,1617,3
033e5e4f49acb5621c782ac8a37aa90b,1,6,43,533,2
0347f9daa0a33f82b4c9c0821450cc8a,2,13,58,1038,5
034ecce08e1adf75b5fecf2faac7ed11,2,8,55,1392,1
03511a5e5d4c3d8ef00f1578e1419800,5,14,52,2118,2
0354c6a8cb8961e29b70e564b93861fe,8,11,59,2407,1
0356344ba89a9deb1e8a6bef7a7c78b5,1,8,32,447,4
035df2b15f358d231e00af9e62488cf4,1,12,51,607,1
03613e666b3919a3e807eac45a8f2731,1,11,56,184,1
03624ffc0958f7ea385b6d4e088532b0,2,7,38,665,1
0367635ea4efa4eb15a29f1e05887851,1,6,59,415,1
036bcd084feae22f3a997f5080ec30df,2,10,61,1961,1
036ecb2f1816e95d3fa658207266ecf5,1,6,23,154,1
037aab5faf8d9120659b7c8ea3cf4c12,1,9,29,2706,1
037c68f178aefdd7a880a951dedc04d1,1,10,36,113,1
03826ede2cac52b3011b58cfd58c84f9,3,9,58,398,3
0383c4d17410e421f6a8b905fb9adcbc,2,5,53,1254,2
038467f26869173dd87434ae02199a40,1,6,28,913,3
0388b93e2992639ef7de7b35b2ba91b2,1,6,50,427,3
03894c9a40bf32b84a349ef0ddfccc1d,1,17,59,675,1
038967227fb1bc9b30d6e1c81fa2d2be,2,11,45,1161,1
038c0dd7c1e48a1588f8919a0c305727,1,8,45,78,1
03940e741e919e2c258e177d875f8423,1,13,59,679,5
03973c594aba6474ba73ab090dcdc4e2,1,3,57,557,1
03973c875a4653e663aede2c46a957f6,1,21,59,523,1
039e946aff78252a2e83b8fa1adf837d,1,18,56,404,4
03a20f79e4c056b48ce29b3e30beb0fb,12,13,63,1700,1
03aad9707028422f38b0563410912177,1,6,49,591,1
03ac940e93916395ea0483161cc84d5c,1,27,47,1489,1
03b29ca1beec2e03e15a3b980c1505ed,5,10,43,656,3
03b63c5fc16691530586ae020c345514,2,17,49,728,4
03ba2b6c24374d16022585b6b1b385e1,1,13,24,1636,1
03bb06cda40712fb8473f7962fb7d198,9,14,54,289,1
03bb24d19ea7449ce170e0888d830707,3,17,53,148,1
03c0275df9996ed2720b28488c7946d4,5,6,57,1649,1
03c14a3d479e334e87ee5baf2563811d,1,17,56,1193,1
03c1fa561b6e1d70f9fa22ab1f08c762,1,19,59,376,1
03c526c6224e8b74620b3b1ff4d0f3ad,1,11,57,87,1
03c94210a8223f2f0c811f6783fe3d22,2,15,42,422,1
03ccf3bdaa33497fa04d1e2f746a4555,1,6,58,1110,2
03d10117bf5dbd1e4f194566be73de5a,3,37,53,255,1
03d19e503abb1698d26d630c0017b11e,2,3,36,359,1
03d4805d42e229c0fb34e5eb7fee281f,1,8,60,1149,5
03d7ad0ce97624c931b3abde02b5d819,4,12,48,259,1
03d817e5e392e78674ed0bd8195f9159,1,14,56,590,1
03da3203e7fba42baf48e3d87cd4b75b,1,14,57,2016,7
03e4e6709b7d6415746769c0bc3e9131,15,13,42,762,2
03e606af3a694d55bf9abce7f5b07c42,1,6,55,664,1
03e7d29d9988a30815f1f20b6549881f,1,17,54,404,4
03e931f387c2dd5b006aecdb12515b2e,16,13,55,560,1
03e9fcb7adffd8c9e14285c979ea59c9,2,8,45,287,1
03ed331c2c9bb4cd5c3d986928bc8d9c,4,13,56,343,6
03f02ee5e8fd233d41dcfe8ad911cf7e,1,6,56,617,1
03feb64db1d0ea0aaad178536a2d0640,1,26,57,415,1
03fed41c5e9067007d852ff83d602753,4,9,46,1107,1
04014f5d30de9dbe77b421f63985b5ef,1,7,52,228,2
040b8534cb74ddaae70c21541f449630,1,8,42,574,1
040fe1cdb263eb2c9b1322875b0afcb7,3,3,36,561,1
041022915a950ec95b761b690ddb6b24,5,17,63,351,3
04120fb9b3f90600e5ae1f2a2cde53e3,1,8,50,704,1
0414ce6ba3643b59fd1e5c8e146c1d8d,2,10,48,466,2
04162d7f092b675a184e76e91fd521d4,1,22,59,203,1
041644fcb6426ab2a7c992fac010771a,1,4,58,283,4
0417855683de23ba1e20e8a358a5ac7c,2,10,59,633,5
0419e76e19f81672eb13b6a8bd19a5cb,1,12,30,2071,1
041b5d4393ea83147e2a07e55cd5359c,1,18,40,537,2
042426e17752f5d722a5b80940edc915,1,28,51,215,1
0424d4d1508370eb771126734ec9740e,2,11,55,247,1
0432203d03868bfe5fdbb86fb2148474,3,4,35,1168,3
043424c9047266b778d9f440c63dc349,1,7,60,327,1
0437850bd55b9b2b9cf104b59a611666,5,10,59,244,7
043d7f9943fc2e97d21728cff9c608f2,1,26,42,1003,1
0442663b51251c398df7f53c29e29812,3,13,34,1132,8
04433a8021475a2002663f94203c88da,7,8,59,1476,2
0449db5eede617c5fd413071d582f038,2,12,37,1819,4
0449efdb5b6a5d301b098972abd1749e,2,7,54,1297,1
044b06b901539ec1ac136565a97d0fec,3,8,42,877,1
044de1dc695094f06e9eca6c19921f20,2,4,56,296,3
0453f63a85b66c3950381599dbbfb2ec,1,15,47,1370,1
04565ebccdd3c4acc43789823458d6a8,1,16,42,334,1
045c0f3faa3d81ff1af071e0811b2711,5,16,49,570,2
045da764883d50dc071cc70c81226cbc,5,12,51,553,1
04601b648d7d2dcae6e285a41e276a3f,6,17,57,328,1
046cf43a5b63303b3c3c4ba076d1d732,3,17,48,1648,2
046eee903d62294ffad4e38ae6aa730e,7,11,32,219,1
047b85649c33e9cbf34b2ccf8d41d622,3,18,57,349,10
047c9a28e0da299843d9f67d99959442,2,10,39,1053,4
0485eb91cf4786a456d0b61ef9d9183e,5,22,36,245,3
048bb098a0e194ddc3d0287b954bc9d8,1,32,36,73,1
048c45eaa9b885243959f59ddf2b21f4,1,13,20,1703,2
04913106077ff97c89fa5e6b289fa25c,1,9,59,140,3
04939dcb29e2a26106610d8e1ef03b98,1,18,34,1043,2
049469901143a0f4ead566611fda0544,1,15,49,1174,1
0496a7015a17628712e8720db133092b,5,20,60,875,5
049ac5dce8536884a652ce73c58022ab,5,7,44,505,1
049e64366e5301baa9060eef6b10f217,1,3,40,606,1
04a2ef44f3ea03a72be6f1f99ee0bfe6,1,11,35,172,4
04a3191f211edc97716020026d05d260,2,9,56,595,2
04a58e66cae7d954a87cb7fbb67b204c,1,12,59,1773,1
04a67e69edfb208f784da30294f69c5b,4,14,51,1256,1
04abe952a7292c9914a0ddade6371114,1,20,33,840,5
04b2173a311a1fe1a8c90a59c0a0f474,1,7,41,186,2
04b48e86a968cfe620da1cab5c7556ae,5,12,28,648,1
04bbe69bca409d1d1fdd812267c89302,1,14,56,643,2
04bd5aedb2f07b8078ef7dcbfb79db00,1,12,60,1258,3
04be6baed9b1c67197a4b2dd2f5b637c,3,14,59,468,1
04c200c7067838a36677c2cb65f90987,5,9,55,1355,4
04c31b0da644f1782603183f8fba274c,1,7,41,586,3
04c4182bda52366f3c4b8817ddbcd98e,1,7,61,604,1
04c4239553c71aafb3b2b5f74f165210,1,13,60,345,4
04c48a5fe31aedc4ef3896c005fd483c,8,13,36,574,1
04c4a4b9c924494fcf82e0fba966f955,21,10,39,364,1
04ca6bf4b3d9aa78046f0973efe2f4b1,4,12,46,916,8
04caadc7ea07eadcaa8513b4f6ecd8ec,2,5,55,443,1
04cb9679db724268544436f40166c3ed,2,8,34,2558,1
04cfe2f4173f2acf181b3d2642a387d1,2,12,55,2908,2
04d70d184a7c12c93cecd9c0d8b5ad69,5,6,60,918,1
04d752c2cda8f0972a8ab10ac9abdf12,1,5,53,128,2
04dc26a02c448f6f2b914f01c2902ebd,11,18,50,361,1
04de91d60b1cc9be205fb4a63c87bece,1,9,30,121,4
04df667e73ca2fab4b9a97c86466b699,2,17,34,541,1
04e4e5d3a78ebbd1a943769293829c68,1,7,39,1876,1
04e9efe8ce063de2e031eb806396f456,1,13,52,665,1
04ea63ab87df726ebf45c0982dd90a1f,6,13,47,1059,4
04ea859686940874c6f624314a14070a,1,7,58,1186,2
04f6c1fd057cc96a63e1f9579ddb942b,1,7,59,320,1
04f92f94955d380b722ed941f2e6e51c,1,16,52,698,4
04f982a576e5d149919df37e292fa79e,1,15,54,607,1
04f9876e5833ccf6df7934aaebd19faf,1,17,52,338,1
04f9ba792a88dcfa0a4ecadb4d0ad913,1,1,43,357,2
04fa587378a8e74c3b0acc00efecc93e,1,18,50,829,2
04fd8d64a2539d188bef33bb288410bb,1,12,57,366,1
05019bc35fc2ed878c0c0f55346b91c6,4,6,40,344,1
050245daefa14dcfc8048e9c6a586d2c,1,9,48,565,1
0504d5c0f9b71510b2b0bee952e380fa,2,18,51,2240,1
050ab8e1f87a468de0eed97451da3efd,1,16,52,1488,1
050d890ccc1c0874e166c9af9c6dd821,1,13,36,749,2
05177c02b7f7e985fb4a90d1465f0fba,1,21,52,307,1
0519a542f6238651af817ddc6fcbbcf4,2,6,51,411,3
051b9ff13dd55c0a6655a15ff296f80d,1,7,50,529,2
051e6f6764c9b60143dffafd0c5d1a25,1,6,60,707,1
05216a143a65ab59fc48fb996e7c12d7,2,5,53,353,1
0521fe3eb04940304b489d0fb49a37dd,16,13,58,686,1
0522015abfd1094949180dee8dacbdf9,2,15,57,314,1
052413504e5295cd66ec4ced0b310062,15,15,55,570,1
0526bcd59b4bbb167f8a4e93d56c0a07,1,11,57,408,4
0527af46c46b7a345d2086ea304ae8d7,1,9,25,101,1
052b8660ee8a9ee18815d9b276694a10,6,9,47,540,2
052dd43729ce1a56b5e083888ad5916f,1,3,54,637,3
0534940d69bf94dc61c0e722b4168235,1,7,32,337,1
053bc43c110771a8ade43dd4462c3fa0,1,25,58,793,2
053c1c7045cfb67d04d8c5a8dc9fc054,1,16,58,402,1
05431e0dd637e910dd67d7ad823e8437,2,4,42,2115,1
0543393758e5da8203fc69c4e6707c75,1,14,22,516,1
054515fd15bc1a2029f10de97ffa9120,55,7,50,799,1
0547b998c6f8893fab4ba02d5636c10f,1,3,42,262,1
054b1ab366729788a3717961085aec01,2,3,57,1206,1
054f9a8859dc532322504741c66d799f,1,13,56,688,8
055019def765ce08da9fac0585e927c3,3,8,63,884,5
05542c6ab7bce0a01a5f7210380e72b3,2,5,57,582,3
0554df77f3ed2e36e06c60eb65dc357a,6,7,56,929,1
055cf0b2191631209c21bde8d353c7f2,2,19,46,537,4
056063b2634974ef86ccb7da2d3d0dbf,7,9,33,315,1
056193fc88b3f131fae751356896b168,7,15,59,1996,1
05649d71cdf7d7ec2bbd7a717179de0f,1,6,58,482,4
05696da7eee323669666f62228d00f78,1,7,55,342,1
056b837251897cfc6f46d3643bad614f,1,7,52,471,4
056d012d264624accb7f73d31caee034,9,27,56,255,1
056d07eb7d9c446e3780a3a7f102190d,1,4,48,135,1
056fc939c78534a5fb6a762ef17d912e,1,9,53,87,1
057041a5c3e1080ad700db092badca71,2,15,59,395,1
057229db0353dff9e12e298e8f6429b9,2,11,35,564,1
0573b564a90d2d9f9c460eb963da8c33,1,4,47,748,3
0581c05e8e3c0d17ea0ef8904419ec00,1,12,59,667,1
05833dad7f04a1b2991641771bfe6d9f,2,9,49,1732,5
058453fe8a9473eceee27349de3b38ac,2,7,60,517,3
058755c380722a806fc5440093c2c5bf,1,17,50,923,2
0587bd8ea43108a16104b1430c15b283,2,8,42,799,4
05890763390aff71105dd223c0b9b225,1,4,48,1102,1
058b372f969b59e8c4a27e224243909c,7,16,52,90,2
058f0416fd2fad8fb4cd0443ade6a42b,1,14,50,199,1
05928363cd16fb2d20ccad40992105aa,2,22,53,612,3
059ca09d32720d9adce3ae12e181339d,10,10,50,676,1
059d3cf4de5bc9099cdb4c10ee7e84d5,1,7,58,824,1
059dce566827cd3b3274f2b986d5c0db,1,7,36,733,1
059fb7d4b3383690a65610a1d6320e7e,2,9,42,442,1
05a360982be454c7e715c0fec4f67243,1,9,48,412,5
05a4cea3c80d33b04145946e6c5e0fa9,1,14,50,536,1
05a6b99c0460f22f5f8101493c0e3c0e,1,12,64,69,11
05a9ab81472f6bdcd910cb49b636c5b5,8,19,55,2290,5
05a9dadb8402b6b7ae3dd28f7da187b5,33,14,59,3314,2
